date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:54:32	3285593/3285593	---M--	200	added ('OK')	application/pdf	etag:%2233bcfdd6bd3cf1:0%22	http://cambridgemun.org/camunicationday3.pdf	C:/Users/user/Desktop/Test/cambridgemun.org/camunicationday3.pdf	(from http://cambridgemun.org/HOME.html)
20:54:53	131583/131583	---M--	200	added ('OK')	image/png	etag:%2247f0422e6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/CAMUN-logo.png	C:/Users/user/Desktop/Test/cambridgemun.org/CAMUN%2013%20web%20archive/CAMUN-logo.png	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/INDEX.html)
20:54:54	7031/7031	---M--	200	added ('OK')	text/html	etag:%228132db3b6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html	C:/Users/user/Desktop/Test/cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/INDEX.html)
20:55:00	773108/773108	---M--	200	added ('OK')	image/jpeg	etag:%224432bf56cd3cf1:0%22	http://cambridgemun.org/Training%20and%20Research.jpg	C:/Users/user/Desktop/Test/cambridgemun.org/Training%20and%20Research.jpg	(from http://cambridgemun.org/Board%20of%20directoor.html)
20:55:06	31609/31609	---M--	200	added ('OK')	image/jpeg	etag:%22af9db1b6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/1st%20SG.jpg	C:/Users/user/Desktop/Test/cambridgemun.org/CAMUN%2013%20web%20archive/1st%20SG.jpg	(from http://cambridgemun.org/Alumni.html)
20:55:09	20059/20059	---M--	200	added ('OK')	image/jpeg	etag:%22c9e97b786cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/Swetha.jpg	C:/Users/user/Desktop/Test/cambridgemun.org/CAMUN%2013%20web%20archive/Swetha.jpg	(from http://cambridgemun.org/Alumni.html)
20:55:15	34038/34038	---M--	200	added ('OK')	image/jpeg	etag:%22cebab01f6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/546216_10151204437206138_1682167972_n.jpg	C:/Users/user/Desktop/Test/cambridgemun.org/CAMUN%2013%20web%20archive/546216_10151204437206138_1682167972_n.jpg	(from http://cambridgemun.org/Alumni.html)
20:55:16	8709/8709	---M--	200	added ('OK')	text/css	etag:%2254ecb5ae6bd3cf1:0%22	http://cambridgemun.org/SpryAssets/SpryTabbedPanels.css	C:/Users/user/Desktop/Test/cambridgemun.org/SpryAssets/SpryTabbedPanels.css	(from http://cambridgemun.org/Committees.html)
20:55:17	530636/530636	---M--	200	added ('OK')	image/jpeg	etag:%229ea03a96cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/Untitled-12.jpg	C:/Users/user/Desktop/Test/cambridgemun.org/CAMUN%2013%20web%20archive/Untitled-12.jpg	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/INDEX.html)
20:55:17	11759/11759	---M--	200	added ('OK')	application/x-javascript	etag:%2223c989af6bd3cf1:0%22	http://cambridgemun.org/SpryAssets/SpryTabbedPanels.js	C:/Users/user/Desktop/Test/cambridgemun.org/SpryAssets/SpryTabbedPanels.js	(from http://cambridgemun.org/Committees.html)
20:55:42	731470/731470	---M--	200	added ('OK')	image/jpeg	etag:%22b3957776cd3cf1:0%22	http://cambridgemun.org/Media%20Group.jpg	C:/Users/user/Desktop/Test/cambridgemun.org/Media%20Group.jpg	(from http://cambridgemun.org/Board%20of%20directoor.html)
20:55:54	370576/370576	---M--	200	added ('OK')	application/pdf	etag:%228ca2d1f36bd3cf1:0%22	http://cambridgemun.org/School%20Registration%20Form%20this.pdf	C:/Users/user/Desktop/Test/cambridgemun.org/School%20Registration%20Form%20this.pdf	(from http://cambridgemun.org/Alumni.html)
20:56:26	423113/423113	---M--	200	added ('OK')	application/pdf	etag:%22f99faef86bd3cf1:0%22	http://cambridgemun.org/Complete%20Study%20Guide%20Security%20Council-1.pdf	C:/Users/user/Desktop/Test/cambridgemun.org/Complete%20Study%20Guide%20Security%20Council-1.pdf	(from http://cambridgemun.org/Committees.html)
20:56:52	588260/588260	---M--	200	added ('OK')	application/pdf	etag:%226f1d8bf66bd3cf1:0%22	http://cambridgemun.org/DISEC.pdf	C:/Users/user/Desktop/Test/cambridgemun.org/DISEC.pdf	(from http://cambridgemun.org/Committees.html)
20:56:52	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Oct%202014%2016:56:52%20GMT	http://cambridgemun.org/BACKGROUND.jpg	C:/Users/user/Desktop/Test/cambridgemun.org/BACKGROUND.3f.delayed	(from http://cambridgemun.org/photo%202013.html)
20:56:53	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Oct%202014%2016:56:53%20GMT	http://cambridgemun.org/2012%20video.html	C:/Users/user/Desktop/Test/cambridgemun.org/2012%20video.40.delayed	(from http://cambridgemun.org/photo%202013.html)
20:57:12	559448/559448	---M--	200	added ('OK')	application/pdf	etag:%22345da9f16bd3cf1:0%22	http://cambridgemun.org/Study%20guide%20-%20SOCHUM.pdf	C:/Users/user/Desktop/Test/cambridgemun.org/Study%20guide%20-%20SOCHUM.pdf	(from http://cambridgemun.org/Committees.html)
20:57:13	22093/22093	---M--	200	added ('OK')	application/x-javascript	etag:%229dbb58af6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/SpryAssets/SpryMenuBar.js	C:/Users/user/Desktop/Test/cambridgemun.org/CAMUN%2013%20web%20archive/SpryAssets/SpryMenuBar.js	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:57:13	5227/5227	---M--	200	added ('OK')	text/css	etag:%2288d166b16cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/SpryAssets/SpryMenuBarVertical.css	C:/Users/user/Desktop/Test/cambridgemun.org/CAMUN%2013%20web%20archive/SpryAssets/SpryMenuBarVertical.css	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:57:18	3086193/3086193	UR-M--	200	added ('Partial%20Content')	application/pdf	etag:%229fbc9fe66bd3cf1:0%22	http://cambridgemun.org/camunicationday2final.pdf	C:/Users/user/Desktop/Test/cambridgemun.org/camunicationday2final.pdf	(from http://cambridgemun.org/HOME.html)
20:57:18	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Oct%202014%2016:57:18%20GMT	http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME.html	C:/Users/user/Desktop/Test/cambridgemun.org/CAMUN%2013%20web%20archive/HOME.45.delayed	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
